file1,file2,score,user_relation,score_with_nonoise
1.wav,2.wav,tensor([0.7356]),same,tensor([0.5766])
1.wav,3.wav,tensor([0.5787]),same,tensor([0.6438])
1.wav,4.wav,tensor([0.6272]),same,tensor([0.4879])
1.wav,5.wav,tensor([0.6458]),same,tensor([0.5725])
1.wav,6.wav,tensor([0.3905]),different,tensor([0.2107])
1.wav,7.wav,tensor([0.3693]),different,tensor([0.3269])
1.wav,8.wav,tensor([0.4142]),different,tensor([0.3383])
1.wav,9.wav,tensor([0.3759]),different,tensor([0.3638])
1.wav,10.wav,tensor([0.4900]),different,tensor([0.3348])
1.wav,11.wav,tensor([0.2986]),different,tensor([0.2003])
1.wav,12.wav,tensor([0.2117]),different,tensor([0.2078])
1.wav,13.wav,tensor([0.3063]),different,tensor([0.3406])
1.wav,14.wav,tensor([0.1844]),different,tensor([0.1083])
1.wav,15.wav,tensor([0.2183]),different,tensor([0.2302])
1.wav,16.wav,tensor([0.1019]),different,tensor([0.0811])
1.wav,17.wav,tensor([0.2213]),different,tensor([0.1645])
1.wav,18.wav,tensor([0.1205]),different,tensor([0.0897])
1.wav,19.wav,tensor([0.1312]),different,tensor([0.0661])
1.wav,20.wav,tensor([0.1200]),different,tensor([0.0285])
1.wav,21.wav,tensor([0.2762]),different,tensor([0.1719])
1.wav,22.wav,tensor([0.1700]),different,tensor([0.0950])
1.wav,23.wav,tensor([0.2156]),different,tensor([0.0967])
1.wav,24.wav,tensor([0.2511]),different,tensor([0.1671])
1.wav,25.wav,tensor([0.1227]),different,tensor([0.0944])
1.wav,26.wav,tensor([0.2365]),different,tensor([0.1478])
1.wav,27.wav,tensor([0.1807]),different,tensor([0.1063])
1.wav,28.wav,tensor([0.2282]),different,tensor([0.1879])
1.wav,29.wav,tensor([0.2197]),different,tensor([0.1432])
1.wav,30.wav,tensor([0.1786]),different,tensor([0.1826])
1.wav,31.wav,tensor([0.2707]),different,tensor([0.2808])
1.wav,32.wav,tensor([0.3091]),different,tensor([0.2888])
1.wav,33.wav,tensor([0.2157]),different,tensor([0.0914])
1.wav,34.wav,tensor([0.2710]),different,tensor([0.2048])
1.wav,35.wav,tensor([0.2656]),different,tensor([0.1820])
1.wav,36.wav,tensor([0.1419]),different,tensor([0.0800])
1.wav,37.wav,tensor([0.1427]),different,tensor([0.0387])
1.wav,38.wav,tensor([0.1951]),different,tensor([0.0334])
1.wav,39.wav,tensor([0.1593]),different,tensor([0.1042])
1.wav,40.wav,tensor([0.1381]),different,tensor([0.0636])
1.wav,41.wav,tensor([0.2353]),different,tensor([0.2111])
1.wav,42.wav,tensor([0.2183]),different,tensor([0.2517])
1.wav,43.wav,tensor([0.0992]),different,tensor([0.1663])
1.wav,44.wav,tensor([0.2029]),different,tensor([0.2933])
1.wav,45.wav,tensor([0.2323]),different,tensor([0.3061])
1.wav,46.wav,tensor([0.1149]),different,tensor([0.0978])
1.wav,47.wav,tensor([-0.0048]),different,tensor([0.0984])
1.wav,48.wav,tensor([0.0761]),different,tensor([0.0106])
1.wav,49.wav,tensor([0.0934]),different,tensor([0.1085])
1.wav,50.wav,tensor([0.0622]),different,tensor([0.0706])
1.wav,51.wav,tensor([0.1780]),different,tensor([0.1445])
1.wav,52.wav,tensor([0.1643]),different,tensor([0.0572])
1.wav,53.wav,tensor([0.1761]),different,tensor([0.1163])
1.wav,54.wav,tensor([0.1748]),different,tensor([0.0738])
1.wav,55.wav,tensor([0.0972]),different,tensor([0.0193])
1.wav,56.wav,tensor([0.1142]),different,tensor([-0.0327])
1.wav,57.wav,tensor([0.0400]),different,tensor([-0.0658])
1.wav,58.wav,tensor([0.0497]),different,tensor([-0.0060])
1.wav,59.wav,tensor([0.0833]),different,tensor([-0.0243])
1.wav,60.wav,tensor([0.0284]),different,tensor([0.0124])
1.wav,61.wav,tensor([0.0994]),different,tensor([0.0570])
1.wav,62.wav,tensor([0.0662]),different,tensor([0.0270])
1.wav,63.wav,tensor([0.0855]),different,tensor([-0.0092])
1.wav,64.wav,tensor([0.1774]),different,tensor([0.0444])
1.wav,65.wav,tensor([0.0895]),different,tensor([-0.0185])
1.wav,66.wav,tensor([0.3958]),different,tensor([0.3472])
1.wav,67.wav,tensor([0.4015]),different,tensor([0.3670])
1.wav,68.wav,tensor([0.3424]),different,tensor([0.4502])
1.wav,69.wav,tensor([0.3203]),different,tensor([0.3311])
1.wav,70.wav,tensor([0.4359]),different,tensor([0.3834])
1.wav,71.wav,tensor([0.3247]),different,tensor([0.2688])
1.wav,72.wav,tensor([0.3028]),different,tensor([0.1680])
1.wav,73.wav,tensor([0.3823]),different,tensor([0.2184])
1.wav,74.wav,tensor([0.2440]),different,tensor([0.3127])
1.wav,75.wav,tensor([0.3809]),different,tensor([0.3062])
1.wav,76.wav,tensor([0.1984]),different,tensor([0.1223])
1.wav,77.wav,tensor([0.1794]),different,tensor([0.0592])
1.wav,78.wav,tensor([0.0775]),different,tensor([0.0806])
1.wav,79.wav,tensor([0.1620]),different,tensor([0.0514])
1.wav,80.wav,tensor([0.2001]),different,tensor([0.2384])
1.wav,81.wav,tensor([0.5088]),different,tensor([0.3930])
1.wav,82.wav,tensor([0.3564]),different,tensor([0.2407])
1.wav,83.wav,tensor([0.3697]),different,tensor([0.3032])
1.wav,84.wav,tensor([0.3933]),different,tensor([0.3401])
1.wav,85.wav,tensor([0.4306]),different,tensor([0.3233])
1.wav,86.wav,tensor([0.1959]),different,tensor([0.1293])
1.wav,87.wav,tensor([0.2265]),different,tensor([0.1104])
1.wav,88.wav,tensor([0.2103]),different,tensor([0.0891])
1.wav,89.wav,tensor([0.1731]),different,tensor([0.0221])
1.wav,90.wav,tensor([0.2315]),different,tensor([0.1327])
1.wav,91.wav,tensor([0.0376]),different,tensor([0.0425])
1.wav,92.wav,tensor([0.0918]),different,tensor([0.0461])
1.wav,93.wav,tensor([0.2305]),different,tensor([0.0927])
1.wav,94.wav,tensor([0.1284]),different,tensor([0.0821])
1.wav,95.wav,tensor([0.0453]),different,tensor([0.0246])
1.wav,96.wav,tensor([0.3022]),different,tensor([0.1573])
